Index;track_name;artist(s)_name;released_year;released_month;released_day
915;Circo Loco;Drake, 21 Savage;2022;11;4
916;Labyrinth;Taylor Swift;2022;10;21
917;Spin Bout U;Drake, 21 Savage;2022;11;4
918;Sweet Nothing;Taylor Swift;2022;10;21
919;Con La Brisa;Ludwig Goransson, Foudeqush;2022;11;4
920;Privileged Rappers;Drake, 21 Savage;2022;11;4
921;The Astronaut;Jin;2022;10;28
922;BackOutsideBoyz;Drake;2022;11;4
923;Broke Boys;Drake, 21 Savage;2022;11;4
924;The Great War;Taylor Swift;2022;10;21
925;My Mind & Me;Selena Gomez;2022;11;3
926;Bigger Than The Whole Sky;Taylor Swift;2022;10;21
927;A Veces (feat. Feid);Feid, Paulo Londra;2022;11;3
928;En La De Ella;Feid, Sech, Jhayco;2022;10;20
929;Alone;Burna Boy;2022;11;4
