Index;track_name;artist(s)_name;released_year;released_month;released_day
308;Murder In My Mind;Kordhell;2022;1;21
309;Gangsta's Paradise;Coolio, L.V.;1995;7;11
310;CAIRO;Karol G, Ovy On The Drums;2022;11;13
311;I Love You So;The Walters;2014;11;28
312;Dark Red;Steve Lacy;2017;2;20
313;Say You Won't Let Go;James Arthur;2016;9;9
314;The Hills;The Weeknd;2015;5;27
315;Heart To Heart;Mac DeMarco;2019;5;10
316;Peaches (from The Super Mario Bros. Movie);Jack Black;2023;4;7
317;Marisola - Remix;Duki, NICKI NICOLE, Cris Mj, Standly, Stars Music Chile;2022;12;15
318;LOKERA;Brray, Rauw Alejandro, Lyanno;2022;7;25
319;Low;SZA;2022;12;9
320;Numb;Linkin Park;2003;3;24
321;Tormenta (feat. Bad Bunny);Gorillaz, Bad Bunny;2023;2;24
322;on the street (with J. Cole);j-hope, J. Cole;2023;3;3
323;One Thing At A Time;Morgan Wallen;2022;12;2
324;Miss You;Robin Schulz, Oliver Tree;2022;8;5
325;Ainï¿½ï¿½ï¿½t Tha;Morgan Wallen;2023;3;3
326;Thinkinï¿½ï¿½ï¿½ B;Morgan Wallen;2023;3;3
327;Private Landing (feat. Justin Bieber & Future);Don Toliver, Future, Justin Bieber;2023;2;23
328;Everything I Love;Morgan Wallen;2023;1;31
329;Heaven;Niall Horan;2023;2;17
330;LET GO;Central Cee;2022;12;15
331;Sial;Mahalini;2023;1;23
332;I Wrote The Book;Morgan Wallen;2023;1;31
333;"Apna Bana Le (From ""Bhediya"")";Arijit Singh, Sachin-Jigar;2022;11;5
334;SPIT IN MY FACE!;ThxSoMch;2022;10;31
335;PLAYA DEL INGLï¿½;Myke Towers, Quevedo;2022;12;15
336;Man Made A Bar (feat. Eric Church);Morgan Wallen, Eric Church;2023;3;3
337;Red Ruby Da Sleeze;Nicki Minaj;2023;3;3
338;Kahani Suno 2.0;Kaifi Khalil;2022;5;31
339;Nobody Gets Me;SZA;2022;12;9
340;PERO Tï¿;Karol G, Quevedo;2023;2;23
341;Hype Boy;NewJeans;2022;8;1
342;Bloody Mary;Lady Gaga;2011;1;1
343;Monotonï¿½;Ozuna, Shakira;2022;10;19
344;ýýý98 Braves;Morgan Wallen;2023;3;3
345;WANDA;Quevedo;2023;1;20
346;Thought You Should Know;Morgan Wallen;2022;5;6
347;In The End;Linkin Park;2000;10;24
348;Zona De Perigo;Leo Santana;2022;12;8
349;Lovezinho;Treyce;2022;7;28
350;I Like You (A Happier Song) (with Doja Cat);Post Malone, Doja Cat;2022;6;3
351;Neverita;Bad Bunny;2022;5;6
352;Vista Al Mar;Quevedo;2022;9;8
353;Sem Alianï¿½ï¿½a no ;MC Xenon, Os Gemeos da Putaria;2022;12;23
354;Enemy (with JID) - from the series Arcane League of Legends;Imagine Dragons, League of Legends, JID, Arcane;2021;9;3
355;Revenge;XXXTENTACION;2017;8;25
356;Bombonzinho - Ao Vivo;Israel & Rodolffo, Ana Castela;2022;11;3
357;LA CANCIï¿½;J Balvin, Bad Bunny;2019;6;28
358;Quï¿½ï¿½ Ago;Yuridia, Angela Aguilar;2022;10;20
359;Love Again;The Kid Laroi;2023;1;27
360;After Hours;The Weeknd;2020;2;19
361;About Damn Time;Lizzo;2022;7;15
362;Born With A Beer In My Hand;Morgan Wallen;2023;3;3
363;ýýýýýýýýýýýýýýýýýýýýý;Fujii Kaze;2020;5;20
364;Besos Moja2;Wisin & Yandel, ROSALï¿½;2022;9;29
365;Maan Meri Jaan;King;2022;10;12
366;Moscow Mule;Bad Bunny;2022;5;6
367;My Universe;Coldplay, BTS;2021;9;24
368;Devil Donï¿½ï¿½ï¿½;Morgan Wallen;2023;3;3
369;LLYLM;ROSALï¿½;2023;1;27
370;I'm Not Here To Make Friends;Sam Smith, Calvin Harris, Jessie Reyez;2023;1;27
371;TRUSTFALL;P!nk;2023;1;27
372;ANTIFRAGILE;LE SSERAFIM;2022;10;17
373;Boy's a liar;PinkPantheress;2022;11;30
374;VIBE (feat. Jimin of BTS);TAEYANG, Jimin;2023;1;13
375;Shirt;SZA;2022;10;28
376;Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By;Rihanna;2022;10;28
377;STAR WALKIN' (League of Legends Worlds Anthem);Lil Nas X;2022;9;22
378;Boy With Luv (feat. Halsey);Halsey, BTS;2019;4;12
379;Calm Down;Rï¿½ï;2022;2;9
380;Jhoome Jo Pathaan;Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar;2022;12;22
381;Escapism. - Sped Up;RAYE, 070 Shake;2022;11;25
382;Space Song;Beach House;2015;1;1
383;Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack];BTS, Jung Kook, FIFA Sound;2022;11;20
384;Te Felicito;Shakira, Rauw Alejandro;2022;4;21
385;Muï¿½ï¿½;Steve Aoki, Tini, La Joaqui;2023;1;12
386;TV;Billie Eilish;2022;7;21
387;I'm Not The Only One;Sam Smith;2014;1;1
388;Heather;Conan Gray;2020;3;20
389;"Besharam Rang (From ""Pathaan"")";Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani;2022;12;12
390;One Kiss (with Dua Lipa);Calvin Harris, Dua Lipa;2017;6;2
391;Sugar Rush Ride;TOMORROW X TOGETHER;2023;1;27
392;Pink Venom;BLACKPINK;2022;8;19
393;WAIT FOR U (feat. Drake & Tems);Drake, Future, Tems;2022;4;27
394;Don't Start Now;Dua Lipa;2019;10;31
395;After Dark;Mr.Kitty;2014;8;8
396;Eu Gosto Assim - Ao Vivo;Gustavo Mioto, Mari Fernandez;2022;9;16
397;INDUSTRY BABY (feat. Jack Harlow);Jack Harlow, Lil Nas X;2021;7;23
398;MIDDLE OF THE NIGHT;Elley Duhï¿;2020;1;10
399;Atlantis;Seafret;2015;4;22
400;PUNTO 40;Baby Rasta, Rauw Alejandro;2022;9;22
401;Evoque Prata;DJ Escobar, MC MENOR SG, MC MENOR HR;2022;9;9
402;How Do I Say Goodbye;Dean Lewis;2022;8;5
403;Blind;SZA;2022;12;9
404;Die For You;Joji;2022;11;4
405;Doja;Central Cee;2022;7;20
406;Gatita;Bellakath;2022;10;3
407;Rumble;Skrillex, Flowdan, Fred again..;2022;1;17
408;Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage];Travis Scott, 21 Savage, Metro Boomin;2022;12;2
409;Yonaguni;Bad Bunny;2021;6;4
410;Super Freaky Girl;Nicki Minaj;2022;8;12
411;Running Up That Hill (A Deal With God);Kate Bush;1985;9;16
412;Dream On;Aerosmith;1973;1;5
413;Limbo;Freddie Dredd;2022;8;11
414;Where Are You Now;Lost Frequencies, Calum Scott;2021;7;30
415;WORTH NOTHING;Twisted, Oliver Tree;2022;9;28
416;Bad Habits;Ed Sheeran;2020;9;3
417;KICK BACK;Kenshi Yonezu;2022;10;12
418;Evergreen (You Didnï¿½ï¿½ï¿½t Deserve Me A;Omar Apollo;2022;4;8
419;Good Days;SZA;2020;12;24
420;Levitating (feat. DaBaby);Dua Lipa, DaBaby;2020;3;27
421;Woman;Doja Cat;2021;6;25
422;Shut up My Moms Calling - (Sped Up);Hotel Ugly;2022;9;14
423;Ferrari;James Hype, Miggy Dela Rosa;2022;3;14
424;"Kesariya (From ""Brahmastra"")";Pritam, Arijit Singh, Amitabh Bhattacharya;2022;7;17
425;Agudo Mï¿½ï¿½gi;Styrx, utku INC, Thezth;1930;1;1
426;Payphone;Maroon 5, Wiz Khalifa;2012;1;1
427;All I Want for Christmas Is You;Mariah Carey;1994;10;28
428;Last Christmas;Wham!;1984;1;1
429;Rockin' Around The Christmas Tree;Brenda Lee;1958;1;1
430;Jingle Bell Rock;Bobby Helms;1957;1;1
431;It's Beginning To Look A Lot Like Christmas;Michael Bublï¿;2011;10;14
432;Santa Tell Me;Ariana Grande;2013;12;13
433;It's the Most Wonderful Time of the Year;Andy Williams;1963;10;14
434;Let It Snow! Let It Snow! Let It Snow!;Dean Martin;1959;11;16
435;Snowman;Sia;2017;1;1
436;Underneath the Tree;Kelly Clarkson;2013;10;25
437;Feliz Navidad;Josï¿½ï¿½ Felic;1970;11;1
438;Holly Jolly Christmas;Michael Bublï¿;2011;10;14
439;Mistletoe;Justin Bieber;2011;1;1
440;Sleigh Ride;The Ronettes;1963;11;22
441;Seek & Destroy;SZA;2022;12;9
442;Love Language;SZA;2022;12;9
443;Happy Xmas (War Is Over);John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono;1971;12;1
444;Used (feat. Don Toliver);SZA, Don Toliver;2022;12;8
445;A Holly Jolly Christmas - Single Version;Burl Ives;1952;1;1
446;The Christmas Song (Merry Christmas To You) - Remastered 1999;Nat King Cole;1946;11;1
447;Wonderful Christmastime - Edited Version / Remastered 2011;Paul McCartney;1979;11;16
448;Do They Know It's Christmas? - 1984 Version;Band Aid;1984;11;25
449;Ghost in the Machine (feat. Phoebe Bridgers);SZA, Phoebe Bridgers;2022;12;9
450;Special;SZA;2022;12;9
451;Merry Christmas Everyone;Shakin' Stevens;1984;1;1
452;Let It Snow! Let It Snow! Let It Snow!;Frank Sinatra, B. Swanson Quartet;1950;1;1
453;SOS;SZA;2022;12;9
454;Open Arms (feat. Travis Scott);SZA, Travis Scott;2022;12;8
