Index;danceability_%;valence_%;energy_%;acousticness_%;instrumentalness_%;liveness_%;speechiness_%
411;63;20;55;72;0;6;6
412;39;24;43;39;0;23;3
413;80;46;62;3;6;11;46
414;67;26;64;52;0;17;10
415;58;17;62;18;0;20;8
416;81;59;90;5;0;36;3
417;58;29;94;0;0;9;11
418;70;31;34;60;1;11;4
419;46;53;78;23;0;72;6
420;70;92;83;1;0;7;6
421;82;88;76;9;0;12;9
422;65;36;47;31;0;12;10
423;84;70;69;1;0;5;5
424;58;44;57;57;0;10;3
425;65;49;80;22;4;7;5
426;74;51;74;2;0;29;4
427;34;33;63;16;0;7;4
428;74;88;65;28;0;46;3
429;70;85;41;71;0;45;5
430;74;78;37;84;0;6;3
431;35;38;23;91;0;29;3
432;46;53;63;5;0;30;18
433;24;76;60;77;0;12;4
434;45;72;24;91;0;18;4
435;72;33;51;48;0;9;3
436;51;69;81;0;0;21;5
437;50;96;82;47;0;34;4
438;65;70;47;87;0;9;4
439;67;88;54;51;0;9;4
440;53;84;77;40;0;32;3
441;65;35;65;44;18;21;7
442;71;55;26;85;0;13;8
443;33;39;61;32;0;77;3
444;73;71;69;53;0;32;9
445;67;81;36;64;0;15;3
446;36;22;15;84;0;11;4
447;75;74;58;36;0;9;3
448;60;23;57;0;2;27;3
449;62;59;43;84;3;11;5
450;60;19;20;78;0;11;5
451;72;91;87;14;0;13;3
452;60;86;32;88;0;34;6
453;51;51;66;67;0;9;23
454;67;22;59;76;1;15;16
455;23;19;25;91;0;40;3
456;51;87;58;36;0;18;4
457;34;35;76;39;0;8;5
458;43;42;44;57;0;15;6
459;53;47;74;9;0;34;4
460;72;78;68;28;0;11;12
461;59;60;94;24;0;10;4
462;73;72;32;77;0;15;5
463;67;69;72;17;0;19;3
464;70;92;59;3;0;10;3
465;49;42;77;3;0;12;9
466;54;41;39;51;0;11;16
467;80;15;54;9;0;38;5
468;70;57;57;9;20;11;7
469;69;96;36;81;0;8;4
470;47;33;68;24;0;22;38
471;79;77;46;5;0;11;7
472;66;19;32;69;0;12;4
473;64;4;40;6;0;10;6
474;89;48;74;30;0;7;36
475;70;39;56;6;0;9;7
476;80;42;68;2;0;66;4
477;63;93;88;1;0;12;4
478;87;51;69;36;0;9;8
479;45;35;68;78;0;39;8
480;83;47;80;2;0;24;9
481;69;94;71;79;0;7;8
482;51;94;34;73;0;10;5
483;61;48;55;67;0;16;8
484;33;51;59;76;0;44;6
485;63;34;86;26;0;21;39
486;70;42;54;30;0;37;5
487;70;91;79;3;0;7;10
488;70;60;58;4;0;16;3
489;60;45;47;62;0;31;5
490;65;82;74;27;0;32;5
491;85;64;81;2;5;7;9
492;58;83;45;36;0;11;8
493;76;44;77;1;0;13;3
494;80;62;51;2;0;9;8
495;74;35;73;0;0;21;5
496;67;50;67;15;0;30;4
497;53;50;79;0;0;8;3
498;70;35;77;1;0;26;4
499;56;68;66;28;0;11;18
500;49;49;59;44;0;35;21
501;77;74;66;30;0;13;3
502;75;85;84;10;0;31;19
503;66;19;61;30;0;9;7
504;61;76;51;30;0;38;15
505;74;53;73;61;0;13;4
506;27;10;49;62;0;49;5
507;65;37;58;2;0;4;31
508;28;13;41;50;0;19;3
509;74;55;85;1;0;5;22
510;68;72;78;4;0;7;5
511;71;59;80;13;0;36;5
512;75;36;76;12;0;10;10
513;64;14;70;9;0;9;8
514;83;40;55;16;0;14;23
515;75;46;76;3;0;9;4
516;31;31;24;76;0;14;4
517;56;16;67;0;0;11;4
518;29;12;33;68;0;12;5
519;59;69;61;84;0;46;36
520;59;21;43;76;0;10;7
521;82;52;61;38;0;14;27
522;63;21;52;28;0;9;3
523;77;25;62;34;0;23;3
524;53;55;73;9;0;3;5
525;70;61;44;40;0;37;4
526;46;55;50;71;0;10;11
527;65;46;47;12;0;13;16
528;79;79;70;57;0;66;8
529;40;7;29;62;0;9;3
530;57;36;58;5;0;15;3
531;83;11;41;0;0;36;14
532;73;79;86;42;0;7;18
533;81;57;63;40;1;10;4
534;58;44;60;44;9;5;6
535;63;85;62;6;0;35;4
536;77;40;47;2;0;9;3
537;44;52;94;11;0;4;29
538;75;93;86;8;0;14;3
539;63;49;68;38;0;42;18
540;73;14;57;40;0;11;5
541;56;58;55;35;0;23;11
542;73;60;85;17;0;24;5
543;72;67;68;0;0;14;4
544;70;57;49;19;0;12;8
545;86;31;53;43;0;11;6
546;79;70;36;0;0;6;11
547;77;49;42;1;1;13;19
548;83;44;62;2;0;8;6
549;44;22;60;61;0;42;9
550;75;74;77;1;0;9;10
551;74;39;65;5;1;11;35
552;66;18;68;9;0;12;4
553;67;78;63;29;0;12;5
554;66;63;69;21;0;11;7
555;59;72;62;18;0;9;3
556;85;22;37;13;0;7;30
557;77;51;79;20;0;26;6
558;53;75;69;7;0;17;3
559;77;82;30;95;0;13;5
560;59;56;63;12;0;6;36
561;46;23;48;75;30;14;4
562;42;47;36;76;0;9;5
563;35;41;94;0;63;5;5
564;77;51;79;5;0;16;5
565;59;33;52;7;15;12;3
566;68;29;73;0;0;7;7
567;83;59;73;6;0;5;11
568;70;76;72;22;0;27;4
569;72;54;71;26;0;10;4
570;86;86;79;11;0;8;9
571;63;31;35;93;0;29;3
572;39;36;45;81;0;8;13
573;80;21;55;1;0;26;17
574;91;79;66;32;0;9;16
575;45;19;60;63;0;9;6
576;79;56;91;26;0;13;21
577;73;52;76;13;0;5;3
578;76;63;77;14;0;15;22
579;96;71;42;57;0;8;9
580;40;19;29;86;0;34;4
581;67;40;90;3;0;34;6
582;80;24;62;41;2;11;23
583;73;66;80;44;0;9;12
584;75;96;61;0;0;18;4
585;46;62;83;53;0;97;28
586;81;92;90;9;0;8;7
587;61;59;46;56;0;13;5
588;74;45;89;5;0;26;13
589;79;79;84;2;0;5;5
590;73;31;45;85;24;11;3
591;78;65;52;46;0;12;31
592;60;11;33;90;0;8;5
593;45;12;57;7;0;23;3
594;78;47;70;18;0;15;9
595;76;58;84;10;0;13;10
596;63;76;67;38;0;6;4
597;52;7;61;51;0;11;3
598;64;8;37;79;0;9;5
599;53;66;85;2;0;24;4
600;75;53;74;2;0;11;5
601;80;33;60;0;0;32;14
602;77;26;63;58;0;11;5
603;73;54;74;23;0;41;23
604;82;54;59;69;0;18;10
605;44;22;48;38;0;33;24
606;89;77;82;3;0;17;11
607;42;33;26;92;0;13;3
608;52;73;91;0;0;11;7
609;45;27;33;82;0;14;4
610;67;29;47;5;0;22;26
611;52;68;69;13;0;33;8
612;41;65;88;0;0;26;5
613;71;14;61;1;0;23;33
614;35;24;93;0;0;10;8
615;60;40;89;9;0;60;6
616;74;79;66;11;0;8;16
617;75;19;46;21;4;34;8
618;57;30;40;38;0;26;3
619;74;65;67;46;0;36;4
620;72;67;72;0;0;13;4
621;70;65;74;1;0;34;4
622;82;80;86;1;0;30;13
623;79;44;54;41;0;13;24
624;55;10;85;7;0;8;20
625;77;60;32;84;0;8;5
626;56;61;76;10;0;14;11
627;90;74;54;16;0;13;28
628;69;70;89;4;0;49;3
629;80;62;69;28;0;13;7
630;85;92;54;16;0;29;7
631;63;75;75;17;0;11;8
632;84;90;70;9;0;14;8
633;81;53;78;18;0;6;24
634;51;50;76;30;0;10;7
635;35;23;61;23;0;19;6
636;53;31;31;92;0;28;3
